iter	Passed	Remaining
0	3	3967
1	7	3698
2	10	3581
3	14	3551
4	17	3510
5	21	3479
6	24	3465
7	27	3439
8	31	3418
9	34	3432
10	37	3413
11	41	3392
12	44	3383
13	47	3375
14	51	3370
15	54	3365
16	58	3356
17	61	3347
18	64	3348
19	68	3346
20	71	3344
21	75	3340
22	78	3345
23	82	3343
24	85	3341
25	89	3338
26	92	3339
27	96	3334
28	99	3329
29	102	3324
30	106	3316
31	109	3314
32	112	3310
33	116	3306
34	119	3302
35	123	3300
36	149	3890
37	153	3879
38	156	3858
39	159	3834
40	163	3813
41	166	3792
42	169	3772
43	172	3753
44	175	3734
45	179	3716
46	182	3698
47	185	3683
48	188	3667
49	192	3652
50	195	3638
51	198	3627
52	202	3615
53	205	3599
54	208	3584
55	212	3574
56	216	3579
57	219	3571
58	223	3563
59	226	3555
60	230	3547
61	233	3538
62	237	3534
63	241	3529
64	244	3522
65	248	3513
66	251	3504
67	255	3496
68	259	3495
69	263	3500
70	267	3496
71	271	3494
72	274	3487
73	280	3516
74	284	3513
75	289	3514
76	295	3536
77	299	3539
78	303	3541
79	307	3539
80	311	3539
81	315	3537
82	320	3536
83	325	3549
84	329	3547
85	334	3549
86	338	3556
87	354	3676
88	358	3667
89	362	3661
90	366	3659
91	370	3652
92	373	3642
93	376	3629
94	379	3617
95	383	3611
96	386	3602
97	390	3590
98	393	3578
99	396	3566
100	400	3563
101	403	3556
102	407	3545
103	410	3534
104	413	3526
105	417	3518
106	420	3507
107	423	3497
108	426	3485
109	430	3483
110	433	3474
111	436	3463
112	439	3453
113	443	3444
114	446	3437
115	449	3427
116	452	3418
117	456	3408
118	459	3399
119	462	3391
120	465	3382
121	468	3372
122	471	3362
123	474	3354
124	477	3345
125	481	3336
126	484	3327
127	487	3318
128	490	3310
129	493	3302
130	496	3293
131	499	3284
132	502	3276
133	504	3262
134	507	3254
135	510	3246
136	514	3238
137	517	3230
138	518	3214
139	522	3207
140	525	3199
141	528	3192
142	531	3185
143	534	3177
144	538	3174
145	541	3167
146	544	3159
147	546	3146
148	549	3138
149	552	3131
150	555	3124
151	558	3117
152	561	3110
153	565	3104
154	568	3097
155	571	3090
156	574	3083
157	577	3076
158	580	3070
159	583	3064
160	586	3058
161	589	3051
162	593	3045
163	595	3036
164	598	3030
165	601	3024
166	605	3018
167	608	3011
168	611	3005
169	614	3000
170	617	2994
171	619	2984
172	622	2977
173	626	2972
174	629	2968
175	632	2962
176	635	2956
177	638	2950
178	641	2944
179	655	2988
180	662	2999
181	671	3019
182	680	3036
183	688	3054
184	698	3076
185	706	3091
186	713	3102
187	720	3111
188	727	3122
189	734	3131
190	741	3142
191	751	3162
192	759	3174
193	766	3184
194	793	3274
195	800	3283
196	804	3278
197	816	3306
198	829	3339
199	838	3355
200	850	3379
201	863	3412
202	872	3426
203	885	3453
204	889	3451
205	894	3447
206	898	3442
207	902	3435
208	906	3430
209	909	3423
210	913	3416
211	916	3408
212	920	3402
213	924	3394
214	928	3389
215	931	3382
216	935	3375
217	939	3369
218	942	3362
219	946	3354
220	950	3350
221	955	3346
222	959	3341
223	962	3335
224	966	3328
225	970	3324
226	974	3319
227	979	3316
228	983	3310
229	986	3302
230	989	3294
231	993	3287
232	996	3280
233	1000	3274
234	1003	3268
235	1007	3261
236	1010	3254
237	1014	3248
238	1018	3241
239	1021	3234
240	1024	3227
241	1028	3221
242	1031	3214
243	1034	3205
244	1037	3198
245	1041	3191
246	1044	3184
247	1047	3177
